StudentID,Student_Name,Have_Speaking_Skill?,Have_Leadership_Skill?,Average_Extracurricular_Activity_Marks,Average_Subject_Marks,Average_Group_Work_Marks,Favourite_Sports,Favourite_Hobby,Have_Presentation_Skill?,Gender,Friends,Favourite_Subject,Is_Social?,Average_Teacher_Rating_For_Group_Works
197,Rohan Fernando,No,Yes,53.52,78.85,53.68,['Football'],Gardening,No,Female,"Mehta, Perera, Patel",English,Yes,3.5
198,Anjali Nair,Yes,Yes,52.27,74.37,50.71,"['Football', 'Basketball']",Painting,No,Female,Ananya,Science,No,3.3
199,Rohit Rao,Yes,Yes,73.22,69.17,61.19,"['Rugby', 'Netball']",Reading,Yes,Female,"Nimesh, Mehta, Patel",Science,Yes,2.8
200,Simran Singh,Yes,Yes,74.06,76.29,66.47,"['Netball', 'Tennis']",Painting,Yes,Female,"Mehta, Anushka",Art,Yes,2.8
201,Sneha Sharma,Yes,Yes,64.73,74.35,72.88,['Tennis'],Dancing,Yes,Female,"Perera, Anushka",Maths,No,3.9
202,Mithun Gamage,Yes,No,65.17,80.81,69.75,['Rugby'],Dancing,Yes,Female,"Rohan, Kaur, Sejal",History,Yes,4.1
203,Rohan Singh,Yes,Yes,66.28,69.18,57.62,"['Rugby', 'Basketball']",Dancing,No,Female,"Kaur, Patel, Vinay",History,No,3.2
204,Nimesh Patel,Yes,No,54.21,71.52,74.94,['Rugby'],Writing,No,Male,"Sejal, Silva",Science,No,4.4
205,Kunal Kapoor,Yes,Yes,52.91,79.01,72.61,['Netball'],Painting,Yes,Male,"Anushka, Manish, Rohan",Science,No,4.5
206,Naveen Kapoor,No,Yes,69.29,77.11,53.61,"['Volleyball', 'Rugby']",Writing,No,Male,Anjali,Maths,No,4
207,Aman Desai,Yes,No,70.69,73.16,71.54,['Cricket'],Reading,Yes,Female,"Singh, Fernando, Singh",Art,Yes,3
208,Kavita Patel,Yes,No,71.76,67.01,61.31,"['Rugby', 'Football']",Dancing,Yes,Male,Rhea,Science,No,2.8
209,Anil Perera,No,No,68.77,71.61,63.38,"['Rugby', 'Football']",Playing guitar,No,Female,"Ananya, Singh",History,No,2.6
210,Anjali Singh,No,No,71.5,79.11,65.21,"['Rugby', 'Volleyball']",Painting,Yes,Female,"Raj, Anil",Science,Yes,2.6
211,Sejal Verma,Yes,Yes,65.94,68.07,64.96,"['Football', 'Swimming']",Reading,Yes,Male,"Anushka, Aman",Art,No,3.7
212,Karan Das,Yes,Yes,69.97,81.6,51.25,['Swimming'],Gardening,No,Male,"Aman, Verma, Aakash",Maths,Yes,4.6
213,Reena Singh,Yes,No,63.31,81.27,72.24,"['Volleyball', 'Basketball']",Dancing,No,Female,Riya,English,Yes,4.7
214,Sanjana Patel,No,No,63.6,76.81,57.74,"['Cricket', 'Volleyball']",Painting,No,Female,Rohit,Maths,No,3.1
215,Rohan Silva,No,Yes,71.03,79.44,72.84,"['Swimming', 'Volleyball']",Reading,Yes,Female,"Anjali, Kapoor, Aditya",History,No,2.5
216,Vikram Kapoor,No,No,68.12,76.21,52.15,"['Tennis', 'Basketball']",Painting,Yes,Female,"Gamage, Anushka, Sneha",Maths,Yes,3.7
217,Vinay Gamage,No,Yes,59.01,84.18,67.44,['Cricket'],Music,No,Female,Neha,Art,Yes,3.3
218,Naveen Kapoor,Yes,No,66.01,70.81,65.13,"['Swimming', 'Football']",Writing,No,Male,"Shreya, Aditya",English,Yes,3
219,Rohan Kapoor,No,Yes,65.36,72.72,66.66,"['Netball', 'Rugby']",Playing guitar,No,Male,Rohit,Art,Yes,4
220,Neha Sharma,No,Yes,61.71,71.72,66.19,['Cricket'],Playing guitar,No,Male,"Anil, Rohan",History,Yes,4.3
221,Sanjana Kapoor,No,No,54.12,79.45,67.25,['Rugby'],Music,No,Male,"Sanjana, Gaurav, Sharma",Art,No,3
222,Rahul Das,No,Yes,56.57,82.01,59.21,"['Tennis', 'Rugby']",Dancing,No,Female,"Verma, Kavita",Maths,No,3
223,Shreya Sharma,No,Yes,58.09,65.79,72.23,"['Netball', 'Swimming']",Photography,Yes,Female,"Patel, Patel",Art,Yes,3.8
224,Dev Desai,Yes,Yes,69.65,73.93,66.85,['Cricket'],Photography,Yes,Female,Rao,Art,Yes,4.5
225,Aditya Kapoor,Yes,No,62.06,75.43,50.66,['Basketball'],Playing guitar,Yes,Female,Priya,History,Yes,3.1
226,Aman Fernando,No,Yes,74.73,67.48,60.85,['Swimming'],Playing guitar,No,Female,"Raj, Singh",History,Yes,4.2
227,Ananya Sharma,Yes,No,56.69,70.74,52.64,"['Rugby', 'Football']",Painting,No,Female,"Raj, Raj",History,No,4.3
228,Kavya Desai,Yes,Yes,59.77,69.59,65.59,"['Football', 'Tennis']",Music,No,Female,"Gamage, Sharma, Kapoor",Science,Yes,4.3
229,Karan Raj,Yes,Yes,57.38,79.32,50.41,"['Tennis', 'Swimming']",Reading,Yes,Male,"Rajesh, Karan",Art,No,3.9
230,Nalini Patel,Yes,No,71.94,80.18,74.13,"['Basketball', 'Football']",Playing guitar,Yes,Female,Dev,English,No,3
231,Nimesh Verma,No,No,63.42,67.86,66.51,"['Volleyball', 'Cricket']",Playing guitar,No,Male,Sanjana,Art,Yes,3.7
232,Pooja Sharma,No,No,58.91,72.03,50.29,['Volleyball'],Reading,No,Female,Rhea,English,Yes,3.1
233,Priyanka Gamage,No,No,53.66,74.77,66.54,['Swimming'],Music,No,Female,"Patel, Rana, Verma",Science,Yes,4.1
234,Aditya Desai,Yes,Yes,70.41,81.69,52.8,"['Football', 'Tennis']",Cooking,No,Male,Patel,Science,No,4
235,Riya Singh,Yes,No,54,66.82,51.5,"['Football', 'Basketball']",Dancing,No,Male,"Priyanka, Raj",Science,Yes,4
236,Aman Rao,Yes,No,65.4,65.91,53.91,"['Basketball', 'Football']",Writing,No,Male,"Priyanka, Sunil",English,Yes,5
237,Priya Desai,No,No,63.65,75.47,52,['Tennis'],Music,Yes,Female,"Rana, Mehta, Sharma",Science,Yes,3.2
238,Sejal Silva,Yes,No,64.37,66.98,51.83,"['Volleyball', 'Rugby']",Gardening,No,Male,"Fernando, Sharma",History,Yes,3.6
239,Mohit Patel,No,Yes,63.72,82.62,71.54,['Swimming'],Gardening,No,Female,Vinay,English,Yes,4.8
240,Rohit Sharma,No,Yes,50.51,83.83,65.34,"['Cricket', 'Swimming']",Gardening,No,Female,Patel,Maths,Yes,3.4
241,Sneha Patel,No,No,55.53,79.66,68.04,['Tennis'],Playing guitar,No,Male,"Kapoor, Mehta",History,No,4
242,Simran Singh,Yes,No,52.57,78.43,72.93,['Football'],Music,No,Female,"Mithun, Priya",English,No,4.5
243,Kunal Mehta,No,No,74.46,81.6,71.9,['Basketball'],Music,Yes,Male,"Amara, Desai, Raj",English,No,3.6
244,Nalini Patel,Yes,Yes,73.49,76.51,74.75,"['Football', 'Netball']",Cooking,Yes,Female,Rana,Art,Yes,3.5
245,Mohit Sharma,No,No,64.2,68.95,52.12,['Basketball'],Photography,No,Male,"Sharma, Anil, Shruti",History,Yes,3.8
246,Shreya Patel,No,Yes,69.88,67.91,54.06,['Rugby'],Photography,No,Female,"Rahul, Kapoor, Singh",Science,No,2.6
247,Neha Sharma,No,Yes,66.73,68.4,59.47,"['Football', 'Volleyball']",Playing guitar,No,Male,"Kapoor, Sharma",History,Yes,4.1
248,Pooja Singh,No,Yes,64.11,83.12,51.06,['Football'],Painting,No,Male,"Aditya, Arjun, Gaurav",Science,No,4.5
249,Kunal Rao,No,Yes,74.03,74.85,65.87,['Tennis'],Painting,Yes,Female,"Sunil, Singh",Art,Yes,3.4
250,Kasun Kapoor,No,Yes,71.88,83.67,52.67,"['Volleyball', 'Cricket']",Writing,No,Male,Patel,Art,No,3.8
251,Sunil Kularatne,Yes,No,57.81,68.46,56,['Football'],Photography,Yes,Female,"Fernando, Rahul",Art,No,4.6
252,Vikram Rao,Yes,Yes,55.52,79.93,57.38,['Swimming'],Music,No,Female,Shruti,Maths,No,3.3
253,Naveen Mehta,No,Yes,70.5,79.5,61.87,['Swimming'],Gardening,No,Male,"Verma, Kavya, Nimesh",English,Yes,4.2
254,Dev Patel,No,No,60.41,78.7,67.1,"['Basketball', 'Tennis']",Painting,Yes,Male,"Verma, Rohan, Verma",History,No,4.4
255,Dev Desai,No,No,63.58,80.27,69.04,"['Volleyball', 'Netball']",Reading,Yes,Female,"Rana, Neha, Sharma",English,Yes,2.8
256,Nalini Mehta,No,Yes,67.33,78.81,56.34,['Tennis'],Playing guitar,No,Male,"Aman, Gamage, Gaurav",English,No,3
257,Gaurav Perera,Yes,No,63.32,79.7,74.81,"['Rugby', 'Netball']",Cooking,No,Female,"Dasun, Sharma, Priyanka",Maths,No,4.8
258,Aman Desai,No,No,69.31,75.53,63.52,['Volleyball'],Dancing,No,Male,"Kavita, Arun",History,Yes,4.5
259,Manish Ariyarathna,No,No,63.5,68.39,56.19,['Rugby'],Dancing,No,Female,Raj,Art,Yes,4.8
260,Simran Sharma,Yes,Yes,70.2,75.51,70.93,"['Swimming', 'Tennis']",Gardening,No,Female,"Rohan, Patel, Aditya",History,Yes,2.9
261,Sanjana Mehta,Yes,Yes,62.38,80.77,61.8,['Tennis'],Writing,Yes,Male,"Patel, Nalini",Art,Yes,4.2
262,Naveen Patel,No,No,52.59,69.04,63.6,"['Cricket', 'Swimming']",Writing,Yes,Male,Amara,English,No,2.8
263,Karan Kaur,No,Yes,64.24,77.96,51.11,"['Netball', 'Cricket']",Painting,Yes,Female,"Mehta, Priyanka",History,No,3.2
264,Vikram Mehta,Yes,Yes,67.04,72.78,57.31,"['Netball', 'Basketball']",Cooking,Yes,Female,Rohan,Maths,Yes,3.2
265,Rahul Desai,Yes,No,60.24,75.88,71.77,['Football'],Reading,Yes,Male,"Patel, Aman",Maths,No,3.5
266,Aditya Sharma,Yes,Yes,71.47,66.11,68.69,"['Netball', 'Basketball']",Music,No,Male,"Manish, Singh, Kapoor",Art,Yes,3.8
267,Rajesh Patel,Yes,No,65.26,73.73,55.25,"['Rugby', 'Football']",Music,No,Female,"Raj, Kularatne, Naveen",Maths,Yes,4.2
268,Simran Patel,No,Yes,64.93,76.78,60.3,['Cricket'],Playing guitar,Yes,Female,"Rajesh, Mehta",Science,No,4.6
269,Rajesh Sharma,Yes,No,50.49,65.48,73.5,['Swimming'],Playing guitar,No,Male,"Pooja, Mehta",Science,Yes,4.1
270,Manish Ariyarathna,No,No,62.18,79.7,57.84,['Volleyball'],Music,No,Male,"Perera, Sanjana",Science,No,2.8
271,Rohan Patel,No,Yes,63.48,75.55,60.36,"['Volleyball', 'Rugby']",Writing,No,Male,Vinay,Art,No,4.9
272,Mohit Verma,Yes,Yes,74.97,67.9,66.23,['Football'],Reading,Yes,Female,Vikas,Art,Yes,3
273,Anushka Perera,Yes,No,69.56,72.2,63.76,"['Tennis', 'Netball']",Playing guitar,Yes,Female,Rohan,Science,Yes,3.9
274,Nalini Raj,Yes,No,57.84,71.43,51.58,['Basketball'],Music,Yes,Female,"Kasun, Pooja",History,No,3.6
275,Priya Sharma,Yes,Yes,69.71,70.04,74.84,"['Cricket', 'Swimming']",Playing guitar,Yes,Male,Anil,Maths,No,3
276,Sunil Patel,Yes,Yes,73.63,70.64,67.17,"['Swimming', 'Basketball']",Cooking,No,Female,Karan,Maths,Yes,2.6
277,Rahul Raj,No,Yes,59.77,65.27,69.55,"['Rugby', 'Basketball']",Playing guitar,Yes,Male,Vikram,Science,No,4.5
278,Manish Sharma,No,No,66.52,70.29,59.15,['Football'],Playing guitar,No,Female,"Raj, Sanjana, Anjali",Art,No,2.9
279,Aman Kularatne,No,Yes,70.36,84.17,63.15,['Rugby'],Playing guitar,No,Female,"Verma, Arun",Art,No,3.5
280,Vikram Kapoor,No,No,51.7,80.41,72.82,"['Tennis', 'Swimming']",Gardening,Yes,Female,"Pooja, Sanjana, Kunal",Science,No,5
281,Neha Singh,Yes,No,51.52,73.57,66.31,['Volleyball'],Writing,No,Male,"Mehta, Singh",Maths,No,4.2
282,Priyanka Das,Yes,Yes,69.41,67.01,52.85,"['Rugby', 'Cricket']",Playing guitar,No,Male,Mehta,Art,No,2.9
283,Amara Desai,No,No,57.75,72.2,72.89,['Volleyball'],Playing guitar,Yes,Male,"Singh, Rao",Art,Yes,2.6
284,Priyanka Patel,No,No,58.46,68.41,58.68,['Football'],Dancing,Yes,Female,"Kapoor, Ariyarathna, Ananya",History,Yes,3.1
285,Neha Rana,No,No,69.48,67.61,66.5,['Football'],Photography,No,Female,Patel,Science,No,4.4
286,Shruti Mehta,Yes,No,55.28,81.51,73.39,['Football'],Painting,No,Female,"Aditya, Kapoor, Das",Art,No,5
287,Rohan Mehta,No,No,60.68,80.12,72.84,['Rugby'],Photography,No,Male,Patel,English,No,2.9
288,Ananya Singh,Yes,Yes,74.77,70.99,62.58,['Swimming'],Painting,No,Female,Kapoor,History,Yes,4.9
289,Sanjana Desai,Yes,Yes,56.67,77.7,53.93,['Football'],Writing,No,Female,"Desai, Vikram",Maths,No,3.8
290,Shreya Sharma,Yes,Yes,62.3,75.05,50.84,['Volleyball'],Photography,No,Female,"Vikas, Sunil, Patel",Art,Yes,4.3
291,Sejal Das,Yes,No,73.33,68.24,62.75,"['Netball', 'Rugby']",Cooking,Yes,Female,"Sneha, Rohan",Art,Yes,3.3
292,Pooja Patel,No,Yes,67.23,82.18,64.15,"['Swimming', 'Tennis']",Gardening,No,Male,"Verma, Sanjana, Kapoor",History,Yes,4.7
293,Sneha Patel,Yes,No,63.16,79.14,69.37,['Football'],Writing,No,Male,Mehta,Art,No,2.6
294,Kavya Perera,No,Yes,72.42,73.06,65.62,"['Cricket', 'Swimming']",Photography,No,Male,"Mehta, Rohan",Science,No,3
295,Kavya Sharma,No,No,54.19,75.29,71.36,"['Swimming', 'Volleyball']",Music,No,Female,"Vinay, Verma",Art,No,2.7
296,Rhea Silva,No,Yes,51.83,78.58,59.02,['Tennis'],Writing,No,Female,Mehta,Science,No,3.7
297,Gaurav Silva,No,Yes,55.01,80.14,71.52,"['Cricket', 'Basketball']",Painting,Yes,Female,Desai,Art,Yes,4.5
298,Nalini Patel,Yes,No,67.18,71.97,60.93,"['Swimming', 'Football']",Dancing,Yes,Male,"Rohit, Kunal",English,No,4.5
299,Pooja Desai,Yes,No,74.82,84.94,64.21,['Cricket'],Dancing,No,Male,Amara,Art,No,4.8
300,Rahul Patel,Yes,No,52.06,80.14,54.27,"['Swimming', 'Rugby']",Cooking,No,Female,Nair,Art,No,4.1
301,Reena Das,Yes,No,61.72,67.61,70.11,['Volleyball'],Cooking,No,Male,"Gamage, Raj",Maths,No,3.5
302,Rajesh Verma,No,No,64.57,68.2,64.18,"['Basketball', 'Rugby']",Dancing,No,Female,"Sharma, Dasun, Vikas",Art,Yes,4.5
303,Rahul Mehta,No,Yes,57.05,83.32,51.73,"['Swimming', 'Netball']",Music,No,Female,"Desai, Patel, Anushka",Science,Yes,2.6
304,Mohit Patel,Yes,Yes,55.16,74.51,72.1,['Netball'],Writing,No,Male,"Aakash, Singh, Mehta",Science,Yes,3.3
305,Dev Sharma,Yes,Yes,64.86,75.53,65.18,"['Volleyball', 'Tennis']",Painting,Yes,Male,"Mehta, Priya, Raj",English,Yes,3.2
306,Karan Kapoor,Yes,No,71.43,73.37,60.35,"['Football', 'Volleyball']",Playing guitar,No,Female,"Simran, Naveen, Patel",Maths,Yes,2.8
307,Sanjana Sharma,No,Yes,50.19,82.39,70.47,"['Tennis', 'Rugby']",Gardening,Yes,Male,"Rohan, Aman, Raj",English,No,4.5
308,Aditya Perera,No,Yes,68.8,83.48,62.71,"['Swimming', 'Tennis']",Writing,Yes,Male,Kaur,Art,No,3.2
309,Ananya Raj,Yes,Yes,52.07,80.75,69.62,"['Netball', 'Swimming']",Cooking,No,Male,"Dasun, Anil",English,Yes,3.2
310,Sanjana Sharma,No,No,55.11,75.65,68.09,"['Rugby', 'Netball']",Cooking,Yes,Male,"Desai, Simran",Maths,Yes,2.9
311,Ananya Kaur,Yes,Yes,70.93,84.16,57.27,['Swimming'],Playing guitar,Yes,Male,Patel,Maths,Yes,4.8
312,Aditya Rao,No,No,68.52,66.7,69.15,"['Rugby', 'Swimming']",Reading,Yes,Female,Manish,English,Yes,4.5
313,Vinay Raj,Yes,No,61.11,84.13,68.45,['Swimming'],Writing,No,Female,"Sanjana, Rahul",Art,No,4.7
314,Dasun Mehta,Yes,Yes,55.1,75.12,64.05,['Cricket'],Playing guitar,Yes,Male,Priya,Science,No,4.4
315,Naveen Singh,Yes,No,54.53,75.25,69.77,['Tennis'],Cooking,No,Female,Kapoor,History,Yes,4.5
316,Kasun Ariyarathna,Yes,Yes,55.53,71.85,68.8,['Volleyball'],Writing,No,Male,"Patel, Verma",Art,No,2.6
317,Mohit Patel,Yes,No,68.77,76.23,69.08,"['Netball', 'Cricket']",Dancing,Yes,Female,"Patel, Rohit",History,No,3.3
318,Dasun Mehta,No,Yes,73.66,75.94,70.36,"['Netball', 'Football']",Dancing,No,Female,"Raj, Aakash",Science,No,2.6
319,Nimesh Singh,Yes,No,68.3,65.98,71.12,['Netball'],Reading,Yes,Male,"Verma, Patel, Mohit",Science,Yes,4
320,Manish Patel,Yes,No,74.93,70.96,60.68,['Cricket'],Cooking,Yes,Female,"Rajesh, Arun",Science,Yes,4.5
321,Amara Verma,No,No,64.77,84.3,60.7,['Volleyball'],Gardening,Yes,Female,"Fernando, Kunal, Gamage",History,No,3.9
322,Anjali Patel,Yes,No,55.98,67.28,57.12,"['Basketball', 'Tennis']",Playing guitar,Yes,Female,Mohit,Science,No,4.2
323,Mithun Sharma,Yes,Yes,68.67,77.64,60.48,['Swimming'],Painting,Yes,Male,"Kavya, Patel",English,Yes,4.6
324,Kavita Mehta,Yes,Yes,53.39,83.61,62.67,"['Basketball', 'Cricket']",Reading,No,Male,Dev,History,No,3.8
325,Sanjana Mehta,No,Yes,55.35,67.16,71.63,['Basketball'],Photography,No,Male,Kavya,Maths,No,4.8
326,Ananya Desai,No,Yes,66.74,73.14,74.86,['Cricket'],Writing,No,Male,"Arun, Mehta",Art,Yes,4.3
327,Karan Kapoor,No,No,60.98,68.47,64.06,"['Rugby', 'Cricket']",Dancing,Yes,Male,"Kunal, Amara, Shruti",Maths,Yes,5
328,Karan Patel,Yes,No,74.57,65.83,52.17,"['Rugby', 'Swimming']",Painting,No,Female,"Nimesh, Anil",Maths,No,2.5
329,Aditya Sharma,Yes,No,50.99,78.82,71.78,['Tennis'],Painting,No,Female,"Patel, Arjun",History,Yes,4.7
330,Sunil Sharma,No,Yes,57.48,67.87,72.21,"['Netball', 'Cricket']",Writing,Yes,Male,"Nair, Kapoor, Gamage",Art,No,3.2
331,Neha Gamage,Yes,Yes,67.05,81.29,62.35,['Rugby'],Photography,Yes,Male,"Kasun, Raj, Sneha",Science,Yes,4.9
332,Rahul Patel,Yes,Yes,61.42,67.04,53.81,['Swimming'],Reading,Yes,Female,Mohit,Science,Yes,3.6
333,Kasun Patel,Yes,Yes,74.29,69.78,57.71,['Volleyball'],Music,Yes,Male,"Sharma, Kapoor, Vikram",History,Yes,4
334,Nimesh Gamage,No,No,50.28,67.17,67.16,"['Swimming', 'Volleyball']",Photography,No,Female,"Mehta, Aman, Arjun",Art,Yes,4.5
335,Aakash Mehta,No,Yes,68.29,71.88,59.53,"['Netball', 'Cricket']",Photography,No,Female,Verma,Art,Yes,2.7
336,Gaurav Mehta,Yes,No,69.61,82.35,55.22,"['Volleyball', 'Rugby']",Reading,No,Female,Karan,Science,Yes,2.6
337,Rhea Kapoor,Yes,Yes,55.38,82.52,56.35,['Volleyball'],Gardening,No,Female,Sharma,Science,No,2.9
338,Rhea Patel,Yes,No,59.87,74.92,60.73,"['Volleyball', 'Football']",Writing,Yes,Female,"Rana, Mithun",Science,Yes,2.5
339,Anil Singh,No,Yes,51.2,83.82,61.4,"['Swimming', 'Tennis']",Gardening,No,Male,Mohit,Science,No,4.9
340,Sunil Raj,Yes,Yes,55.69,75.66,52.81,"['Tennis', 'Netball']",Dancing,Yes,Female,"Riya, Kunal, Kapoor",Art,No,3.8
341,Kavita Singh,No,No,68.84,67.6,73.17,['Basketball'],Photography,No,Female,Vinay,Maths,Yes,3.2
342,Sanjana Desai,Yes,Yes,58.91,82.88,51.76,['Volleyball'],Painting,No,Male,"Kaur, Vikas",Art,No,3.4
343,Simran Kapoor,No,No,73.34,71.87,68.48,"['Netball', 'Swimming']",Music,No,Male,"Rao, Priyanka, Verma",Maths,No,4.1
344,Arun Verma,No,No,70.49,72.88,66.1,"['Swimming', 'Netball']",Dancing,Yes,Female,"Patel, Rohit, Rohan",English,Yes,3.9
345,Rohan Sharma,No,Yes,53.6,67.76,73.91,['Netball'],Gardening,Yes,Male,Kularatne,Art,No,2.7
346,Nimesh Singh,Yes,No,56.13,83.45,70.47,"['Tennis', 'Football']",Gardening,No,Female,"Aditya, Ariyarathna, Priya",Science,No,2.7
347,Priyanka Mehta,No,Yes,57.7,80.05,62.6,"['Basketball', 'Rugby']",Painting,Yes,Female,"Karan, Vikram, Singh",Maths,No,4.6
348,Aman Patel,Yes,Yes,67.73,69.72,65.87,"['Rugby', 'Swimming']",Music,No,Male,"Patel, Neha",Science,Yes,4.7
349,Simran Kularatne,Yes,Yes,72.06,75.42,70.16,['Netball'],Writing,No,Female,"Sharma, Raj, Sharma",English,Yes,4.2
350,Ananya Mehta,Yes,Yes,52.73,78.07,60.27,"['Football', 'Tennis']",Cooking,Yes,Male,Sharma,Art,No,4.9
351,Gaurav Sharma,Yes,No,74.63,79.26,69.33,"['Football', 'Cricket']",Cooking,Yes,Male,"Das, Aditya",History,No,4.9
352,Vikas Mehta,No,Yes,57.98,65.15,72,"['Football', 'Swimming']",Dancing,No,Female,"Sejal, Rao, Rohan",Science,No,3.6
353,Simran Singh,Yes,Yes,63.63,65.22,59.78,['Swimming'],Painting,No,Female,"Kavya, Rohan, Patel",Science,Yes,3.3
354,Aakash Raj,Yes,No,50.58,74.84,54.16,"['Cricket', 'Tennis']",Music,Yes,Female,Desai,Science,No,4.9
355,Priyanka Kularatne,No,No,52.44,74.64,50.2,"['Netball', 'Cricket']",Dancing,No,Male,"Singh, Singh, Mithun",History,Yes,2.5
356,Naveen Mehta,No,No,69.45,67.51,50.2,"['Basketball', 'Cricket']",Dancing,No,Female,Rajesh,Art,Yes,2.6
357,Nalini Desai,Yes,No,67.55,74.82,55.52,['Swimming'],Reading,No,Male,"Mehta, Desai, Sanjana",English,Yes,2.6
358,Rajesh Raj,No,Yes,62.23,81.47,67.55,['Basketball'],Writing,No,Female,"Shruti, Desai, Kularatne",Art,Yes,5
359,Nalini Mehta,Yes,Yes,74.32,83.12,56.03,['Swimming'],Writing,No,Male,"Rohan, Singh, Patel",English,Yes,2.8
360,Priyanka Rana,Yes,No,63.75,67.71,67.76,['Volleyball'],Painting,Yes,Male,"Vikram, Dasun, Patel",History,No,4.6
361,Neha Fernando,Yes,Yes,66.64,76.32,61.02,"['Volleyball', 'Netball']",Gardening,Yes,Female,"Mehta, Reena, Kasun",Art,Yes,2.7
362,Manish Perera,Yes,Yes,58.62,81.16,72.25,['Basketball'],Writing,No,Female,"Desai, Neha, Ariyarathna",History,No,4.4
363,Sanjana Verma,No,Yes,50.22,78.51,61.61,"['Cricket', 'Swimming']",Painting,No,Male,"Mehta, Rao, Patel",Science,No,4
364,Karan Verma,No,Yes,62.12,76.69,72.17,"['Football', 'Netball']",Music,No,Male,"Pooja, Kapoor",English,No,4.1
365,Kasun Sharma,No,Yes,62.63,75.08,69.97,"['Tennis', 'Cricket']",Dancing,No,Female,"Gaurav, Amara",Science,No,3
366,Anjali Sharma,No,Yes,64.2,84.52,54.11,"['Volleyball', 'Rugby']",Photography,No,Male,Priyanka,Art,Yes,4.8
367,Nimesh Patel,Yes,No,65.52,67.38,63.83,"['Volleyball', 'Swimming']",Gardening,No,Male,Vikram,Science,Yes,2.6
368,Sanjana Kapoor,Yes,No,66.73,70.4,50.46,"['Football', 'Tennis']",Cooking,No,Female,Amara,Science,No,4.8
369,Sunil Sharma,Yes,Yes,67.65,78.47,55.63,"['Netball', 'Volleyball']",Photography,Yes,Female,"Das, Mohit",Science,No,3.3
370,Aman Mehta,Yes,No,64.91,80.71,72.69,"['Rugby', 'Netball']",Gardening,No,Male,"Mehta, Rana, Kapoor",Maths,No,4.2
371,Amara Patel,No,No,71.03,67.5,68.69,"['Football', 'Tennis']",Dancing,No,Female,"Patel, Desai, Sharma",History,Yes,2.6
372,Sneha Mehta,Yes,Yes,69.48,77.27,69.47,['Football'],Painting,No,Male,Raj,English,No,4.8
373,Karan Mehta,Yes,Yes,72.4,77.52,70.96,['Basketball'],Photography,Yes,Male,"Mehta, Anushka, Kasun",History,Yes,3.8
374,Riya Silva,No,No,50.76,81.18,54.08,"['Football', 'Volleyball']",Writing,No,Female,Gaurav,History,No,3.3
375,Sanjana Singh,No,Yes,59.65,80.48,73.31,"['Cricket', 'Basketball']",Gardening,Yes,Female,"Kularatne, Desai, Karan",History,Yes,2.6
376,Dasun Mehta,Yes,No,50.58,81.84,59.62,"['Volleyball', 'Swimming']",Gardening,Yes,Female,"Desai, Singh, Pooja",Art,Yes,2.6
377,Gaurav Patel,Yes,Yes,54.7,68.3,66.08,['Volleyball'],Reading,Yes,Male,"Desai, Rohit, Verma",Maths,Yes,4.4
378,Gaurav Rao,Yes,Yes,64.38,75.1,63.15,['Rugby'],Gardening,No,Female,Dasun,History,No,2.9
379,Arjun Patel,Yes,Yes,74.71,65.68,65.12,"['Volleyball', 'Netball']",Cooking,No,Female,Desai,Science,No,2.5
380,Sunil Nair,Yes,Yes,64.79,67.27,63.28,"['Tennis', 'Swimming']",Painting,No,Female,"Desai, Naveen, Raj",Maths,Yes,2.6
381,Karan Sharma,No,No,73.45,78.53,73.23,['Tennis'],Cooking,Yes,Female,"Rohan, Rhea, Kavya",English,No,4.9
382,Anil Patel,No,Yes,74.07,67.14,56.19,"['Rugby', 'Basketball']",Reading,Yes,Female,"Aman, Kavya",History,No,2.7
383,Nimesh Patel,Yes,No,68.17,82.89,73.26,"['Cricket', 'Swimming']",Playing guitar,Yes,Male,"Verma, Neha",English,No,3
384,Dev Singh,No,No,73.77,67.84,74.57,"['Basketball', 'Swimming']",Cooking,Yes,Male,"Rao, Priya",History,No,4
385,Kavya Mehta,Yes,Yes,55.7,68.68,62.92,['Football'],Writing,Yes,Male,Nair,Maths,Yes,4.6
386,Sneha Sharma,No,Yes,53.68,84.1,58.72,"['Tennis', 'Volleyball']",Dancing,No,Female,"Aditya, Nair",Art,No,3.6
387,Sanjana Mehta,Yes,No,62.13,73.13,52.62,['Basketball'],Playing guitar,No,Female,"Desai, Nalini",History,Yes,4.5
388,Aditya Verma,No,No,67.39,68.42,62.7,['Swimming'],Writing,No,Female,"Sneha, Singh, Vikas",Art,Yes,3.5
389,Vikram Singh,Yes,Yes,65.63,83.84,73.55,['Basketball'],Music,No,Male,"Dasun, Mehta, Rohan",History,Yes,2.6
390,Vikas Nair,Yes,No,58.77,84.47,68.26,['Basketball'],Playing guitar,No,Female,"Verma, Singh, Shruti",Science,No,3.3
391,Karan Patel,Yes,No,65.48,73,70.43,['Rugby'],Gardening,No,Female,"Rohit, Sanjana, Gamage",Art,Yes,3.4
392,Mithun Verma,No,No,52.12,74.71,64.98,"['Netball', 'Swimming']",Gardening,No,Female,Rana,History,Yes,4.9
393,Vikram Patel,No,No,67.28,69.41,57.77,['Tennis'],Painting,Yes,Female,Patel,Science,Yes,4.7
394,Sunil Desai,No,Yes,70.75,74.87,59.89,['Rugby'],Reading,Yes,Male,Anushka,History,No,2.7
